academic_year,semester,school,jae_course_code,course_name,gender,intake
2014,S1,SCHOOL OF DESIGN,C64,DIPLOMA IN SPACE & INTERIOR DESIGN,MALE,26
2014,S1,SCHOOL OF DESIGN,C83,DIPLOMA IN INDUSTRIAL DESIGN,FEMALE,24
2014,S1,SCHOOL OF DESIGN,C83,DIPLOMA IN INDUSTRIAL DESIGN,MALE,30
2014,S1,SCHOOL OF ENGINEERING,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,FEMALE,27
2014,S1,SCHOOL OF ENGINEERING,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,MALE,52
2014,S1,SCHOOL OF ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,FEMALE,100
2014,S1,SCHOOL OF ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,MALE,221
2014,S1,SCHOOL OF ENGINEERING,C48,DIPLOMA IN ELECTRICAL ENGINEERING WITH ECO-DESIGN,FEMALE,19
2014,S1,SCHOOL OF ENGINEERING,C48,DIPLOMA IN ELECTRICAL ENGINEERING WITH ECO-DESIGN,MALE,43
2014,S1,SCHOOL OF ENGINEERING,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,FEMALE,6
2014,S1,SCHOOL OF ENGINEERING,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,MALE,24
2014,S1,SCHOOL OF ENGINEERING,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,FEMALE,10
2014,S1,SCHOOL OF ENGINEERING,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,MALE,69
2014,S1,SCHOOL OF ENGINEERING,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,FEMALE,18
2014,S1,SCHOOL OF ENGINEERING,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,MALE,33
2014,S1,SCHOOL OF ENGINEERING,C53,DIPLOMA IN TELEMATICS & MEDIA TECHNOLOGY,FEMALE,8
2014,S1,SCHOOL OF ENGINEERING,C53,DIPLOMA IN TELEMATICS & MEDIA TECHNOLOGY,MALE,10
2014,S1,SCHOOL OF ENGINEERING,C62,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,FEMALE,38
2014,S1,SCHOOL OF ENGINEERING,C62,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,MALE,85
2014,S1,SCHOOL OF ENGINEERING,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,FEMALE,40
2014,S1,SCHOOL OF ENGINEERING,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,MALE,39
2014,S1,SCHOOL OF ENGINEERING,C75,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,FEMALE,78
2014,S1,SCHOOL OF ENGINEERING,C75,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,MALE,163
2014,S1,SCHOOL OF ENGINEERING,C87,DIPLOMA IN MECHATRONICS ENGINEERING,FEMALE,26
2014,S1,SCHOOL OF ENGINEERING,C87,DIPLOMA IN MECHATRONICS ENGINEERING,MALE,151
2014,S1,SCHOOL OF ENGINEERING,C89,"DIPLOMA IN ELECTRONICS, COMPUTER & COMMUNICATIONS ENGINEERING",FEMALE,44
2014,S1,SCHOOL OF ENGINEERING,C89,"DIPLOMA IN ELECTRONICS, COMPUTER & COMMUNICATIONS ENGINEERING",MALE,145
2014,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C47,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),FEMALE,37
2014,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C47,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),MALE,16
2014,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C72,DIPLOMA IN DENTAL HYGIENE AND THERAPY,FEMALE,20
2014,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C72,DIPLOMA IN DENTAL HYGIENE AND THERAPY,MALE,4
2014,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C97,DIPLOMA IN NURSING,FEMALE,501
2014,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C97,DIPLOMA IN NURSING,MALE,113
2014,S1,SCHOOL OF INFORMATION TECHNOLOGY,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,FEMALE,33
2014,S1,SCHOOL OF INFORMATION TECHNOLOGY,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,MALE,28
2014,S1,SCHOOL OF INFORMATION TECHNOLOGY,C54,DIPLOMA IN INFORMATION SECURITY,FEMALE,13
2014,S1,SCHOOL OF INFORMATION TECHNOLOGY,C54,DIPLOMA IN INFORMATION SECURITY,MALE,51
2014,S1,SCHOOL OF INFORMATION TECHNOLOGY,C58,DIPLOMA IN FINANCIAL INFORMATICS,FEMALE,34
2014,S1,SCHOOL OF INFORMATION TECHNOLOGY,C58,DIPLOMA IN FINANCIAL INFORMATICS,MALE,28
2014,S1,SCHOOL OF INFORMATION TECHNOLOGY,C68,DIPLOMA IN BUSINESS ENTERPRISE IT,FEMALE,23
2014,S1,SCHOOL OF INFORMATION TECHNOLOGY,C68,DIPLOMA IN BUSINESS ENTERPRISE IT,MALE,35
2014,S1,SCHOOL OF INFORMATION TECHNOLOGY,C78,DIPLOMA IN BUSINESS INFORMATICS,FEMALE,68
2014,S1,SCHOOL OF INFORMATION TECHNOLOGY,C78,DIPLOMA IN BUSINESS INFORMATICS,MALE,65
2014,S1,SCHOOL OF INFORMATION TECHNOLOGY,C80,DIPLOMA IN ENGINEERING INFORMATICS,FEMALE,43
2014,S1,SCHOOL OF INFORMATION TECHNOLOGY,C80,DIPLOMA IN ENGINEERING INFORMATICS,MALE,85
2014,S1,SCHOOL OF INFORMATION TECHNOLOGY,C85,DIPLOMA IN INFORMATION TECHNOLOGY,FEMALE,33
2014,S1,SCHOOL OF INFORMATION TECHNOLOGY,C85,DIPLOMA IN INFORMATION TECHNOLOGY,MALE,110
2014,S1,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C57,DIPLOMA IN DIGITAL VISUAL EFFECTS,FEMALE,11
2014,S1,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C57,DIPLOMA IN DIGITAL VISUAL EFFECTS,MALE,31
2014,S1,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C59,DIPLOMA IN INTERACTION DESIGN,FEMALE,38
2014,S1,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C59,DIPLOMA IN INTERACTION DESIGN,MALE,26
2014,S1,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,FEMALE,38
2014,S1,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,MALE,45
2014,S1,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C61,DIPLOMA IN ANIMATION,FEMALE,53
2014,S1,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C61,DIPLOMA IN ANIMATION,MALE,47
2014,S1,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C66,DIPLOMA IN MOTION GRAPHICS & BROADCAST DESIGN,FEMALE,25
2014,S1,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C66,DIPLOMA IN MOTION GRAPHICS & BROADCAST DESIGN,MALE,11
2014,S1,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,FEMALE,6
2014,S1,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,MALE,68
2015,S1,SCHOOL OF BUSINESS MANAGEMENT,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,FEMALE,40
2015,S1,SCHOOL OF BUSINESS MANAGEMENT,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,MALE,19
2015,S1,SCHOOL OF BUSINESS MANAGEMENT,C56,DIPLOMA IN FUND MANAGEMENT & ADMINISTRATION,FEMALE,27
2015,S1,SCHOOL OF BUSINESS MANAGEMENT,C56,DIPLOMA IN FUND MANAGEMENT & ADMINISTRATION,MALE,25
2015,S1,SCHOOL OF BUSINESS MANAGEMENT,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,FEMALE,92
