agecat,first_dose_pcttakeup,full_regimen_pcttakeup,vacc_date
12-19,1.0,1.0,2021-03-19
12-19,1.0,1.0,2021-03-20
12-19,1.0,1.0,2021-03-21
12-19,1.0,1.0,2021-03-22
12-19,1.0,1.0,2021-03-23
12-19,1.0,1.0,2021-03-24
12-19,1.0,1.0,2021-03-25
12-19,1.0,1.0,2021-03-26
12-19,1.0,1.0,2021-03-27
12-19,1.0,1.0,2021-03-28
12-19,1.0,1.0,2021-03-29
12-19,1.0,1.0,2021-03-30
12-19,1.0,1.0,2021-03-31
12-19,1.0,1.0,2021-04-01
12-19,1.0,1.0,2021-04-02
12-19,1.0,1.0,2021-04-03
12-19,1.0,1.0,2021-04-04
12-19,1.0,1.0,2021-04-05
12-19,1.0,1.0,2021-04-06
12-19,1.0,1.0,2021-04-07
12-19,1.0,1.0,2021-04-08
12-19,2.0,1.0,2021-04-09
12-19,2.0,1.0,2021-04-10
12-19,2.0,1.0,2021-04-11
12-19,2.0,1.0,2021-04-12
12-19,2.0,1.0,2021-04-13
12-19,2.0,1.0,2021-04-14
12-19,2.0,1.0,2021-04-15
12-19,2.0,1.0,2021-04-16
12-19,2.0,1.0,2021-04-17
12-19,2.0,1.0,2021-04-18
12-19,2.0,1.0,2021-04-19
12-19,2.0,1.0,2021-04-20
12-19,2.0,1.0,2021-04-21
12-19,2.0,1.0,2021-04-22
12-19,2.0,1.0,2021-04-23
12-19,2.0,1.0,2021-04-24
12-19,2.0,1.0,2021-04-25
12-19,2.0,1.0,2021-04-26
12-19,2.0,1.0,2021-04-27
12-19,2.0,1.0,2021-04-28
12-19,2.0,1.0,2021-04-29
12-19,2.0,1.0,2021-04-30
12-19,2.0,1.0,2021-05-01
12-19,2.0,1.0,2021-05-02
12-19,2.0,1.0,2021-05-03
12-19,2.0,2.0,2021-05-04
12-19,2.0,2.0,2021-05-05
12-19,2.0,2.0,2021-05-06
12-19,2.0,2.0,2021-05-07
12-19,2.0,2.0,2021-05-08
12-19,3.0,2.0,2021-05-09
12-19,3.0,2.0,2021-05-10
12-19,3.0,2.0,2021-05-11
12-19,3.0,2.0,2021-05-12
12-19,3.0,2.0,2021-05-13
12-19,3.0,2.0,2021-05-14
12-19,3.0,2.0,2021-05-15
12-19,3.0,2.0,2021-05-16
12-19,3.0,2.0,2021-05-17
12-19,3.0,2.0,2021-05-18
12-19,3.0,2.0,2021-05-19
12-19,3.0,2.0,2021-05-20
12-19,3.0,2.0,2021-05-21
12-19,3.0,2.0,2021-05-22
12-19,3.0,2.0,2021-05-23
12-19,3.0,2.0,2021-05-24
12-19,4.0,2.0,2021-05-25
12-19,4.0,2.0,2021-05-26
12-19,4.0,2.0,2021-05-27
12-19,4.0,2.0,2021-05-28
12-19,4.0,2.0,2021-05-29
12-19,4.0,2.0,2021-05-30
12-19,4.0,2.0,2021-05-31
12-19,4.0,2.0,2021-06-01
12-19,4.0,2.0,2021-06-02
12-19,6.0,2.0,2021-06-03
